f,creator,date,date is approximate?,description,subject,location,features,geonames,latitude,longitude,source,usfs number,publisher,identifier,format original,format,type,rights,rightsstatement,language,cdmid,objectid,display_template,filename,object_location,image_small,image_thumb,errors
Aerial images of Bear Valley and March Creek 7,,1955,,Aerial images of Bear Valley and March Creek 7,national forests; aerials; valleys; creeks,"Boise National Forest, Idaho",Bear Valley; Salmon River,,44.426941,-115.27615,NARA College Park; RG 22 E 261 Fish and Wildlife Series; Biological Survey Photos; River Basin Studies; Box 434 Salmon River,,United States Forest Service,NARA0815DC138,black and white print,image/jpeg,image;stillimage,"In Copyright - Educational Use Permitted. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,583,archivalidaho583,image,archivalidaho583.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho583.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho583_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho583_th.jpg,
"House on flood land below Salmon, Idaho",,1939,,Photo text: 'Oct. 1939.' This image is part of a Rivers and Harbors series.,buildings; houses; flooding; floods; surveys; people,"Salmon, Idaho",,,45.177772,-113.898531,NARA College Park; Still Photo Branch,559,,SalmonR12b,black and white print,image/jpeg,image;stillimage,"In Copyright - Educational Use Permitted. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,584,archivalidaho584,image,archivalidaho584.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho584.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho584_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho584_th.jpg,
View from Valley Creek Ranger Station,"Prater, L.",1964,yes,"Photo text: 'Valley Creek is in left corner of photo, with the community of Stanley, Idaho in the middle distance and the spectacular Sawtooth Mountains in the background.'",national forests; mountains; ridges; peaks; landscapes; ranger stations,"Stanley, Idaho",,,44.21742,-114.9385,NARA College Park; RG 95; GP Series; Box 158,511140,United States Forest Service,NARA0815DC112,black and white print,image/jpeg,image;stillimage,"In Copyright - Educational Use Permitted. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,585,archivalidaho585,image,archivalidaho585.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho585.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho585_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho585_th.jpg,
Kaufman's Cave and Hermit cabin,,1960,yes,"Kaufman's Cave, where a Scottish prospector named Clarence Kaufman built a door over the entrance and lived for about four years.",national forests; caves; homesteaders; cabins; prospectors,"Salmon-Challis National Forest, Idaho",,,44.873608,-114.766153,,,,Sal13Chal172b,black and white print,image/jpeg,image;stillimage,"In Copyright - Educational Use Permitted. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,586,archivalidaho586,image,archivalidaho586.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho586.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho586_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho586_th.jpg,
A photograph of a ridge south of Red Fish Lake.,"Benedict, M.S.",1937,,Ridge south of Red Fish Lake,national forests; mountains; peaks; ridges; landscapes,"Stanley, Idaho",Red Fish Lake,,44.071501,-114.969454,NARA College Park; RG 95; GP Series; Box 158,418633,United States Forest Service,NARA0815DC119,black and white print,image/jpeg,image;stillimage,"In Copyright - Educational Use Permitted. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,587,archivalidaho587,image,archivalidaho587.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho587.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho587_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho587_th.jpg,
Near Bobtail Creek Basin,"Cox, W.T.",1904,,"This image is part of a document titled 'Report upon the proposed Salmon River Forest and additions to Sawtooth, Bitterroot, and Lemhi Reserves, Idaho.' Collected by William T. Cox, 1904.",mountains; ranges; creeks; peaks; points; basins; valleys; forests; landscapes; panoramas; national forests,"Salmon-Challis National Forest, Idaho",,,45.07919,-114.707065,,57031-57032,United States Forest Service,OGDEN22,black and white print,image/jpeg,image;stillimage,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",https://creativecommons.org/publicdomain/mark/1.0/,eng,588,archivalidaho588,image,archivalidaho588.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho588.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho588_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho588_th.jpg,
"Powell Ranger Station, barn","Fox, W. Jr.",1934,,"Powell Ranger Station, barn",ranger stations; guard stations; log; buildings; cabins; national forests; wilderness,"Nez Perce-Clearwater National Forest, Idaho",,,46.509887,-114.711219,R-1 Engineering Division; Historical Facility Photo File; Missoula; MT,,United States Forest Service,R1EngrPics15a,black and white print,image/jpeg,image;stillimage,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",https://creativecommons.org/publicdomain/mark/1.0/,eng,589,archivalidaho589,image,archivalidaho589.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho589.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho589_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho589_th.jpg,
Cars parked for picnic and community garden inspection,,1937,yes,Photo caption: 'This crowd arrived for the picnic and inspection.' A line of cars and are park along forest edge. This image is part of a report regarding farm organizations among tribes in Northern Idaho and the CCC-Indian Division.,CCC; Civilian Conservation Corps; Indian; division; tribes; reservations; people; garden; cars; gatherings; celebrations,"Kamiah, Idaho; Nez Perce Reservation, Idaho",,,46.36935,-115.91847,NARA DC; RG 75; E 121 Northern Idaho Agency; CCF 031; Box 13,,,NARA16DC074b,black and white print,image/jpeg,image;stillimage,"In Copyright - Educational Use Permitted. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,590,archivalidaho590,image,archivalidaho590.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho590.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho590_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho590_th.jpg,
Train at Minidoka Station,,1909,,"Photo text: 'Unloading baggage and passengers at Minidoka station for Rupert, Burley and other towns.' Note: This image is part of records for Bureau of Reclamation projects.",Bureau of Reclamation; train stations; trains; people; luggage; travel,"Minidoka, Idaho",,,42.755364,-113.495567,NARA College Park; Still Photo Branch; RG 115 JO-Minidoka Project; Box 90,,,NARA16DC198,black and white print,image/jpeg,image;stillimage,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",https://creativecommons.org/publicdomain/mark/1.0/,eng,591,archivalidaho591,image,archivalidaho591.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho591.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho591_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho591_th.jpg,
Unloading plane with Camas Creek bridge at Thomas Creek Field,,1954,,Unloading plane with Camas Creek bridge at Thomas Creek Field,national forests; planes; air fields; air strips; landing fields; landing strips; supplies; people,"Salmon-Challis National Forest, Idaho",,,44.72384,-114.998351,,,,Sal13Chal92,black and white print,image/jpeg,image;stillimage,"In Copyright - Educational Use Permitted. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,592,archivalidaho592,image,archivalidaho592.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho592.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho592_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho592_th.jpg,
View of the Crags from Welcome Lake,"Carlson, G.W.",1962,,"Photo text: 'Special Zone. Aug. 14, 1962.'",national forests; aerials; crags; mountains; peaks; points; lakes,"Salmon-Challis National Forest, Idaho; Payette National Forest, Idaho",,Idaho Primitive Area; Frank Church River of No Return Wilderness; Crags; Big Horn Crags; Crag country; Crags Recreation Area; lakes,45.128011,-114.591003,,,United States Forest Service,IntermtnPics117,black and white print,image/jpeg,image;stillimage,"In Copyright - Educational Use Permitted. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,593,archivalidaho593,image,archivalidaho593.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho593.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho593_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho593_th.jpg,
Arrow Rock Dam and surrounding hills,"Stevens, A.W. Capt.",1925,,Photo text: 'Taken on Flying Circus Trip - 1919.' This image is part of a series of aerials taken by the Army Air Corps.,aerials; Idaho; landscapes; dams; rivers; reservoirs,"Arrowrock Dam, Idaho",,,43.5957,-115.922763,Army Air Corps - Airscapes Idaho,,Army Air Corps,Army11,black and white print,image/jpeg,image;stillimage,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",https://creativecommons.org/publicdomain/mark/1.0/,eng,594,archivalidaho594,image,archivalidaho594.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho594.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho594_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho594_th.jpg,
Man and crops on Henchied Ranch,,1909,,"Photo text: 'Growing corn, grain, and potatoes on Henchied Ranch, near Rupert, Idaho.' Note: This image is part of records for Bureau of Reclamation projects.",Bureau of Reclamation; ranches; buildings; fields; potatoes; agriculture,"Rupert, Idaho",,,42.623724,-113.660302,NARA College Park; Still Photo Branch; RG 115 JO-Minidoka Project; Box 90,,,NARA16DC202,black and white print,image/jpeg,image;stillimage,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",https://creativecommons.org/publicdomain/mark/1.0/,eng,595,archivalidaho595,image,archivalidaho595.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho595.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho595_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho595_th.jpg,
